bundle_name,theme,audience,price_usd,product_1,product_2,product_3,product_4,product_5
AI Burnout Recovery Pack,AI/work overload,Knowledge workers,39.99,AI Overwhelm Reset,Prompt Fatigue Recovery,Work From Home Boundary Planner,Remote Burnout Recovery Sheet,Hybrid Job Energy Tracker
Money Stress Survival Pack,Money stress,Consumers with tight budgets,39.99,Emergency Savings Sprint,Rent Pressure Survival Guide,Housing Cost Anxiety Tracker,Inflation Budget Reset,Debt Stress Recovery Plan
Caregiver Relief Bundle,Family caregiving,Adult children and caregivers,49.99,Caregiver Capacity Reset,Caregiver Hand-Off Sheet,Caregiver Burnout Reset,Medication Review Timeline,Family Care Timeline
Senior Care Family Bundle,Senior support,Family caregivers,59.99,Senior Move Planning Sheet,Home Safety Audit,Aging-in-Place Routine,Mobility Support Checklist,End-of-Life Planning Organizer
Small Business Cash Flow Bundle,Small business,Freelancers & solo operators,49.99,Freelance Cash Flow Stability,Gig Income Buffer Planner,Side Hustle Profit Snapshot,Client Intake Sheet,Follow Up Tracker
Healthcare & Insurance Pack,Healthcare navigation,Adults managing care,59.99,Healthcare Benefits Navigator,Prescription Routine Organizer,Insurance Renewal Tracker,Home Recovery Checklist,Birth Recovery Checklist
Home Ops Reset Pack,Home systems,Busy households,29.99,Home Safety & Routine Guide,Neighborhood Emergency Prep,Pantry Inventory Sheet,Closet Reset Worksheet,Laundry Room Flow Planner
Digital Wellness Starter Pack,Digital burnout,Remote workers & creators,29.99,Digital Detox Recovery Plan,Phone Overload Reset,Climate Anxiety Recovery,Hybrid Job Energy Tracker,Work From Home Boundary Planner
Pet Care Essentials Bundle,Pet care,Pet owners,34.99,Pet Health Check Reminder,Pet Insurance Cost Tracker,Vet Appointment Organizer,Pet Feeding Tracker,Pet Emergency Plan
Home Services & Risk Pack,Home services,Homeowners & property managers,49.99,Home Safety Audit,Home Recovery Checklist,Neighborhood Emergency Prep,Maintenance Planner,Property Checklist
