rank,title,category,buyer,price_usd,filename,intent,score
1,Caregiver Burnout Reset,Senior care,Senior care,9.50,caregiver-burnout-reset.pdf,high-intent,146
2,Debt Stress Recovery Plan,Money & budgeting,Money & budgeting,7.50,debt-stress-recovery-plan.pdf,high-intent,137
3,Home Safety Audit,Senior care,Senior care,9.50,home-safety-audit.pdf,high-intent,136
4,Home Recovery Checklist,Healthcare,Healthcare,13.00,home-recovery-checklist.pdf,high-intent,133
5,Insurance Renewal Tracker,Healthcare,Healthcare,15.00,insurance-renewal-tracker.pdf,high-intent,131
6,Family Care Meeting Agenda,Senior care,Senior care,9.50,family-care-meeting-agenda.pdf,high-intent,130
7,Family Care Timeline,Senior care,Senior care,9.50,family-care-timeline.pdf,high-intent,130
8,Family Admin Chaos Reset,Caregiving,Caregiving,7.00,family-admin-chaos-reset.pdf,high-intent,130
9,Caregiver Support Planner,Senior care,Senior care,9.50,caregiver-support-planner.pdf,high-intent,129
10,Senior Medication Tracker,Senior care,Senior care,9.50,senior-medication-tracker.pdf,high-intent,129
11,Senior Transportation Planner,Senior care,Senior care,9.50,senior-transportation-planner.pdf,high-intent,129
12,Elder Tech Setup Guide,Senior care,Senior care,11.00,elder-tech-setup-guide.pdf,high-intent,128
13,Fall Prevention Checklist,Senior care,Senior care,9.50,fall-prevention-checklist.pdf,high-intent,128
14,Long-Term Care Checklist,Senior care,Senior care,9.50,long-term-care-checklist.pdf,high-intent,128
15,Mobility Support Checklist,Senior care,Senior care,9.50,mobility-support-checklist.pdf,high-intent,128
16,Childcare Budget Survival,Caregiving,Caregiving,8.00,childcare-budget-survival.pdf,high-intent,128
17,New Parent Overwhelm Sheet,Caregiving,Caregiving,8.00,new-parent-overwhelm-sheet.pdf,high-intent,128
18,Birth Recovery Checklist,Healthcare,Healthcare,13.00,birth-recovery-checklist.pdf,high-intent,127
19,Healthcare Benefits Navigator,Health & insurance,Health & insurance,14.00,healthcare-benefits-navigator.pdf,high-intent,126
20,Owner Burnout Reset,Small business,Small business,8.00,owner-burnout-reset.pdf,high-intent,126
21,AI Overwhelm Reset,AI & productivity,AI & productivity,6.00,ai-overwhelm-reset.pdf,high-intent,126
22,Remote Burnout Recovery Sheet,Work-life balance,Work-life balance,5.00,remote-burnout-recovery-sheet.pdf,high-intent,125
23,Insurance Claim Prep Sheet,Healthcare,Healthcare,16.00,insurance-claim-prep-sheet.pdf,high-intent,124
24,Inflation Budget Reset,Money & budgeting,Money & budgeting,6.00,inflation-budget-reset.pdf,high-intent,124
25,Aging-in-Place Routine,Senior care,Senior care,9.50,aging-in-place-routine.pdf,high-intent,122
26,Caregiver Hand-Off Sheet,Senior care,Senior care,9.50,caregiver-hand-off-sheet.pdf,high-intent,122
27,Doctor Appointment Organizer,Senior care,Senior care,9.50,doctor-appointment-organizer.pdf,high-intent,122
28,End-of-Life Planning Organizer,Senior care,Senior care,9.50,end-of-life-planning-organizer.pdf,high-intent,122
29,Medication Review Timeline,Senior care,Senior care,9.50,medication-review-timeline.pdf,high-intent,122
30,Memory Care Routine Sheet,Senior care,Senior care,9.50,memory-care-routine-sheet.pdf,high-intent,122
31,Respite Care Calendar,Senior care,Senior care,9.50,respite-care-calendar.pdf,high-intent,122
32,Senior Move Planning Sheet,Senior care,Senior care,9.50,senior-move-planning-sheet.pdf,high-intent,122
33,Senior Wellness Scorecard,Senior care,Senior care,9.50,senior-wellness-scorecard.pdf,high-intent,122
