bundle_name,category,price_usd,incl_1,incl_2,incl_3,incl_4,incl_5,incl_6
AI Burnout Recovery Pack,AI & productivity,39.99,AI Overwhelm Reset,Prompt Fatigue Recovery,Work From Home Boundary Planner,Remote Burnout Recovery Sheet,Hybrid Job Energy Tracker,
Money Stress Survival Pack,Money & budgeting,39.99,Emergency Savings Sprint,Rent Pressure Survival Guide,Housing Cost Anxiety Tracker,Inflation Budget Reset,Utility Cost Slashing Sheet,Debt Stress Recovery Plan
Caregiver Relief Bundle,Caregiving,49.99,Caregiver Capacity Reset,Caregiver Hand-Off Sheet,Caregiver Burnout Reset,Medication Review Timeline,Family Care Timeline,
Small Business Cash Flow Bundle,Small business,49.99,Freelance Cash Flow Stability,Gig Income Buffer Planner,Side Hustle Profit Snapshot,Household Systems Dashboard,Home Energy Cost Tracker,
Home Ops Reset Pack,Home ops,29.99,Home Safety & Routine Guide,Neighborhood Emergency Prep,Pantry Inventory Sheet,Closet Reset Worksheet,Laundry Room Flow Planner,
Healthcare & Insurance Pack,Health & insurance,59.99,Healthcare Benefits Navigator,Prescription Routine Organizer,Medication Review Timeline,Senior Wellness Scorecard,Aging-in-Place Routine,
Senior Care Family Bundle,Senior care,59.99,Senior Move Planning Sheet,Home Safety Audit,Aging-in-Place Routine,Mobility Support Checklist,End-of-Life Planning Organizer,
Digital Wellness Starter Pack,Lifestyle & wellness,29.99,Digital Detox Recovery Plan,Phone Overload Reset,Climate Anxiety Recovery,Hybrid Job Energy Tracker,Work From Home Boundary Planner,
Creator & Local Business Pack,Digital business,49.99,Business Systems Dashboard,Client Intake Sheet,Follow Up Tracker,Marketing Calendar,Website Content Planner,
Pet Care Essentials Bundle,Pet care,34.99,Pet Health Check Reminder,Pet Insurance Cost Tracker,Vet Appointment Organizer,Pet Feeding Tracker,Pet Emergency Plan,
